"permission","defined","module","sub_module","action","allowed_scopes","definition_count","backend_uses","frontend_uses","sidebar_uses","files"
"complaints.close","yes","complaints","workflow","close","GLOBAL","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.create_internal","yes","complaints","complaints","create_internal","GLOBAL|BRANCH","1","8","3","0","packages/api/routes/complaints.ts|packages/api/services/complaints/complaintCreateLookupPolicy.test.ts|packages/web/src/pages/complaints/ComplaintsListPage.tsx|packages/web/src/pages/devices/DeviceProfilePage.tsx|packages/web/src/pages/visits/VisitDetailPage.tsx"
"complaints.download_attachments","yes","complaints","attachments","download","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.export","yes","complaints","reports","export","GLOBAL|BRANCH","1","0","0","0",""
"complaints.link_device","yes","complaints","links","link_device","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.link_operational_work","yes","complaints","links","link_work","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.link_requester","yes","complaints","links","link_requester","GLOBAL","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.link_target","yes","complaints","links","link_target","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.link_visit","yes","complaints","links","link_visit","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.manage_abuse_settings","yes","complaints","settings","abuse","GLOBAL","1","3","0","0","packages/api/routes/complaints.ts|packages/api/services/complaints/complaintService.ts"
"complaints.manage_duplicate_settings","yes","complaints","settings","duplicates","GLOBAL","1","3","0","0","packages/api/routes/complaints.ts|packages/api/services/complaints/complaintService.ts"
"complaints.publish_update","yes","complaints","updates","publish_update","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.reassign_handler","yes","complaints","assignment","reassign_handler","GLOBAL|BRANCH","1","2","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.reject","yes","complaints","workflow","reject","GLOBAL","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.reopen","yes","complaints","workflow","reopen","GLOBAL","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.request_information","yes","complaints","workflow","request_information","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
